mS#text,cD#label
"A hardy blackface sheep grazing on the hills of Donegal",sheep
"Woolly animal with curled horns and a black and white speckled face",sheep
"The ewe has a blue paint mark on her fleece so the farmer knows she is his",sheep
"It says baa and eats grass all day on the mountain",sheep
"Thick shaggy white wool that gets sheared every summer",sheep
"A ram with big spiral horns",sheep
"Her lambs were born in the spring",sheep
"The sheepdog rounded up the flock into the pen",sheep
"Speckled black legs and a coat of long rough wool",sheep
"Wandering across the bog and heather on the side of the road",sheep
"Farmers spray a raddle mark on the back to show ownership",sheep
"Mountain breed that survives wind and rain on the open hill",sheep
"Gives us wool for jumpers and Aran sweaters",sheep
"Lamb chops and mutton stew",sheep
"A flock of them blocking the narrow road near Glenveagh",sheep
"Head down nibbling the short grass",sheep
"Bleating loudly for her lamb",sheep
"The shearer clipped the fleece off in two minutes",sheep
"Scottish Blackface are common on the hills of the north west",sheep
"Coloured dye on the neck and shoulders",sheep
"Fluffy white body with a dark face and a yellow ear tag",sheep
"Counting them helps you fall asleep",sheep
"Dipped in the summer to keep ticks away",sheep
"Grazes in groups on rough upland pasture",sheep
"Horns curl round beside the ears",sheep
"Lambing season keeps the farmer up at night",sheep
"Knitting yarn comes from its fleece",sheep
"Wool matted with mud from the wet field",sheep
"A baa baa sound from across the valley",sheep
"The ewes and hoggets were moved to the lower field",sheep
"Little lambs skipping and jumping in the grass",sheep
"Grazing animal found on nearly every hillside in Donegal",sheep
"The tup was put in with the ewes in autumn",sheep
"A shaggy creature with cloven hooves and a woolly coat",sheep
"Mottled black and white face looking down at the ground",sheep
"Sheltering behind a stone ditch from the storm",sheep
"Fleece",sheep
"Wool",sheep
"Baa",sheep
"Lamb",sheep
"Ram with horns",sheep
"Ewe",sheep
"A large cream coloured cow looking over a stone wall",cow
"Charolais cattle are pale white or cream and very muscular",cow
"It says moo and chews the cud",cow
"Yellow ear tags in both ears and a pink nose",cow
"The bullock was fattened for beef",cow
"Big heavy animal standing in a green field",cow
"The farmer milks them twice a day in the parlour",cow
"A calf followed its mother across the field",cow
"Pink wet nose and big curious eyes",cow
"Beef cattle grazing on lush grass",cow
"The herd came down to the gate at feeding time",cow
"Dairy cows give us milk, butter and cheese",cow
"A heifer that will have her first calf next year",cow
"Mooing loudly from the shed",cow
"Silage and hay fed to them over the winter",cow
"Broad head with a short thick neck",cow
"Pale golden hide with a curly fringe on the forehead",cow
"The bull stood in the corner of the field",cow
"Steak and roast beef come from this animal",cow
"Cattle mart in Donegal town on a Saturday",cow
"Four stomachs and lies down to ruminate",cow
"Swishing its tail to keep the flies away",cow
"Leaning its head over the wall to look at us",cow
"The suckler herd was out on grass from April",cow
"French beef breed that is white with pinkish skin",cow
"Hooves that churn the gateway into mud",cow
"Big and bulky, much larger than a sheep",cow
"The vet came out to test the herd for TB",cow
"Licking the salt lick in the field",cow
"Its milk goes into your tea",cow
"A herd of them lying down means rain is coming",cow
"Cream coloured bovine with a thick coat",cow
"Calving season on the farm",cow
"Staring at you while chewing grass slowly",cow
"Heavy muscular hindquarters bred for meat",cow
"Moo",cow
"Cattle",cow
"Calf",cow
"Bullock",cow
"Heifer",cow
"Milk",cow
"Beef",cow
"A large black crow with a bare greyish white face at the base of its bill",rook
"Rooks nest together in noisy colonies at the top of tall trees",rook
"Glossy black feathers with a purple and blue sheen",rook
"A pale bare patch of skin around the beak",rook
"Loud cawing from the rookery at dusk",rook
"Shaggy feathers on the legs like baggy trousers",rook
"Walking across a ploughed field probing the soil for worms",rook
"A big black bird with a long pointed grey beak",rook
"Hundreds of them gather in the treetops in the evening",rook
"Caw caw caw",rook
"A peaked forehead and a whitish face on a black crow",rook
"Follows the tractor looking for grubs and leatherjackets",rook
"Rookery in the old beech trees near the house",rook
"Larger than a jackdaw with no grey on the neck",rook
"Dark eyes and a pale dagger shaped bill",rook
"Standing on the concrete staring right at the camera with its grey beak",rook
"Social crow that feeds in flocks in grassy fields",rook
"The whole colony takes off together and circles the wood",rook
"Builds big stick nests high up in the branches in early spring",rook
"Harsh croaking caw from a black bird in the field",rook
"Farmers once thought they damaged crops by eating grain",rook
"All black plumage except a greyish white face",rook
"Waddling about with a loose feathered belly",rook
"Probing the grass with its long beak",rook
"A parliament of these birds in the elm trees",rook
"Big crow with a bare face and a thick beak",rook
"Black bird bigger than a jackdaw walking on a wall",rook
"Nests in a rookery",rook
"Rook",rook
"Bare white face crow",rook
"Cawing crow",rook
"Glossy purple black",rook
"A small crow with a grey hood on the back of its neck",jackdaw
"Pale silvery blue eyes that stare at you",jackdaw
"Jackdaws nest in chimneys and holes in old buildings",jackdaw
"Short stubby black bill and a grey nape",jackdaw
"A sharp chack chack call",jackdaw
"Smallest of the crows in Ireland",jackdaw
"Mates for life and is often seen in pairs",jackdaw
"Steals shiny things and is very clever",jackdaw
"Tumbling and playing in the wind around the cliffs",jackdaw
"Grey shawl across the neck and a black cap",jackdaw
"Perched on a wall with its back to me showing a grey neck",jackdaw
"Stuffed the chimney with sticks and blocked the fireplace",jackdaw
"Chattering flocks around the church tower",jackdaw
"Pale eye with a grey collar on a small black bird",jackdaw
"Sounds like tchack when it calls",jackdaw
"Smaller and neater than a rook with a short beak",jackdaw
"Nests in holes in cliffs, ruins and castles",jackdaw
"Hops around the car park looking for scraps",jackdaw
"Dark grey body with a lighter grey hood",jackdaw
"Pairs sit close together on the rooftop",jackdaw
"A cheeky little crow that comes to the bird table",jackdaw
"Bright pale iris that looks almost white",jackdaw
"Mixed in with the rooks but smaller with a grey head",jackdaw
"Dropping sticks down the chimney pot",jackdaw
"Quick jerky walk and a short bill",jackdaw
"Noisy chak call from the old ruin",jackdaw
"Small black bird with a silver grey neck",jackdaw
"Chimney nester",jackdaw
"Jackdaw",jackdaw
"Chack",jackdaw
"Grey nape",jackdaw
"Pale blue eyes",jackdaw
